entity,dateOfBirth,nationality,almaMater,awards,workPlaces
Richard Axel,['1946-07-02'],[],"['the Department of Neuroscience', 'Columbia University', 'the Howard Hughes Medical Institute']",[],"['the Department of Neuroscience', 'Columbia University', 'the Howard Hughes Medical Institute']"
Noam Nisan,['1961-06-20'],[],['the Hebrew University of Jerusalem'],[],['the Hebrew University of Jerusalem']
Howard Harry Rosenbrock,['1920-12-16'],"['Ilford', 'England', 'IChemE']","['University College London', 'the Royal Air Force', 'London University', 'Cambridge University', 'MIT', 'the University of Manchester Institute of Science and Technology', 'the Control Systems Centre', 'the IEE Premium', 'the IEE Control Achievement Award', 'IEE', 'the Institute of Measurement and Control', 'the Royal Academy of Engineering', 'the Royal Society']",[],"['University College London', 'the Royal Air Force', 'London University', 'Cambridge University', 'MIT', 'the University of Manchester Institute of Science and Technology', 'the Control Systems Centre', 'the IEE Premium', 'the IEE Control Achievement Award', 'IEE', 'the Institute of Measurement and Control', 'the Royal Academy of Engineering', 'the Royal Society']"
Ronald Ekers,['1941-09-18'],['South Australia'],"['FRS FAA', 'the University of Adelaide', 'the Australian National University', 'ANU', 'ANU', 'ANU', 'Caltech', 'the Very Large Array', 'Foundation', 'CSIRO', 'Australia Telescope National Facility', 'the International Astronomical Union', 'IAU', 'the Advisory Board', 'the Peter Gruber Foundation Cosmology Prize']",[],"['FRS FAA', 'the University of Adelaide', 'the Australian National University', 'ANU', 'ANU', 'ANU', 'Caltech', 'the Very Large Array', 'Foundation', 'CSIRO', 'Australia Telescope National Facility', 'the International Astronomical Union', 'IAU', 'the Advisory Board', 'the Peter Gruber Foundation Cosmology Prize']"
Bradford Parkinson,['1935-02-16'],"['the United States Naval Academy', 'M.S.', 'Aeronautics']","['United States Air Force', 'the Global Positioning System', 'the Air Force', 'the Massachusetts Institute of Technology', 'the Air Force', 'Stanford University', 'the Air Force', 'Stanford University', 'the Global Positioning System', 'the National Inventors Hall of Fame']",[],"['United States Air Force', 'the Global Positioning System', 'the Air Force', 'the Massachusetts Institute of Technology', 'the Air Force', 'Stanford University', 'the Air Force', 'Stanford University', 'the Global Positioning System', 'the National Inventors Hall of Fame']"
Odd Langholm,['1928-11-08'],[],['the Norwegian School of Economics and Business Administration'],[],['the Norwegian School of Economics and Business Administration']
Brian Garner Wybourne,['1935-03-05'],"['New Zealand', 'Morrinsville', 'the United States', 'Toruń', 'Poland', 'New Zealand']","['Canterbury University College', 'Johns Hopkins University', 'Argonne National Laboratory', 'the University of Canterbury', 'the Nicholas Copernicus University']",[],"['Canterbury University College', 'Johns Hopkins University', 'Argonne National Laboratory', 'the University of Canterbury', 'the Nicholas Copernicus University']"
Li Xiaohong (engineer),['1959-06-30'],['China'],"['Chongqing University', 'Wuhan University', 'Chinese Academy of Engineering']",[],"['Chongqing University', 'Wuhan University', 'Chinese Academy of Engineering']"
Duncan Haldane,['1951-09-14'],[],"['Princeton University', 'Perimeter Institute for Theoretical Physics']",[],"['Princeton University', 'Perimeter Institute for Theoretical Physics']"
Haddon King,['1905-02-04'],"['Georgetown', 'Kingsland', 'Canada', 'U.S.']","['Haddon Rymer', 'the Geological Survey', 'the University of Toronto', 'Western Mining Corporation', 'Consolidated Zinc']",[],"['Haddon Rymer', 'the Geological Survey', 'the University of Toronto', 'Western Mining Corporation', 'Consolidated Zinc']"
Marc Levoy,['1976-05-30'],"['M.S.', 'Architecture']","['Professor of Computer Science and Electrical Engineering', 'Stanford University', 'Cornell University', 'Disney', 'Hanna-Barbera Productions', 'the University of North Carolina at', ""Stanford's"", 'Computer Science Department', ""the National Science Foundation's"", 'Presidential Young Investigator Award', 'Stanford', 'Levoy', 'the ACM SIGGRAPH Computer Graphics Achievement Award']",[],"['Professor of Computer Science and Electrical Engineering', 'Stanford University', 'Cornell University', 'Disney', 'Hanna-Barbera Productions', 'the University of North Carolina at', ""Stanford's"", 'Computer Science Department', ""the National Science Foundation's"", 'Presidential Young Investigator Award', 'Stanford', 'Levoy', 'the ACM SIGGRAPH Computer Graphics Achievement Award']"
Andrey Korotayev,['1961-02-17'],[],"['Eastern', 'the Laboratory of Monitoring of the Risks of Sociopolitical Destabilization of the National Research University Higher School of Economics', 'the Center for Big History and System Forecasting of', 'the Institute of Oriental Studies', 'the Institute for African Studies', 'the Russian Academy of Sciences', 'the International Laboratory on Political Demography and Social Macrodynamics', 'the Russian Presidential Academy of National Economy and Public Administration', 'the Faculty of Global Studies', 'the Moscow State University', 'Social Evolution & History', 'Journal of Globalization Studies', 'History & Mathematics', 'the Russian Academy of Sciences Program ""System Analysis', 'Mathematical Modeling of World Dynamics']",[],"['Eastern', 'the Laboratory of Monitoring of the Risks of Sociopolitical Destabilization of the National Research University Higher School of Economics', 'the Center for Big History and System Forecasting of', 'the Institute of Oriental Studies', 'the Institute for African Studies', 'the Russian Academy of Sciences', 'the International Laboratory on Political Demography and Social Macrodynamics', 'the Russian Presidential Academy of National Economy and Public Administration', 'the Faculty of Global Studies', 'the Moscow State University', 'Social Evolution & History', 'Journal of Globalization Studies', 'History & Mathematics', 'the Russian Academy of Sciences Program ""System Analysis', 'Mathematical Modeling of World Dynamics']"
Sidney Mintz,['1922-11-16'],"['Puerto Rico', 'Haiti', 'Jamaica']","['Columbia University', 'Yale University', 'the Anthropology Department', 'Johns Hopkins University', 'Sweetness and Power']",[],"['Columbia University', 'Yale University', 'the Anthropology Department', 'Johns Hopkins University', 'Sweetness and Power']"
Sara Arber,[],[],"['University of Surrey', 'the British Sociological Association', 'the European Sociological Association']",[],"['University of Surrey', 'the British Sociological Association', 'the European Sociological Association']"
Jim Berger (statistician),['1950-04-06'],"['Minneapolis', 'Minnesota']","['Cornell University', 'the Department of Statistics at', 'Purdue University', 'the Institute of Statistics and Decision Sciences', 'the Department of Statistical Science', 'Duke University', 'Arts', 'Applied Mathematical Sciences Institute']",[],"['Cornell University', 'the Department of Statistics at', 'Purdue University', 'the Institute of Statistics and Decision Sciences', 'the Department of Statistical Science', 'Duke University', 'Arts', 'Applied Mathematical Sciences Institute']"
Otto Hutter,['1924-02-29'],"['Vienna', 'Vienna', 'UK', 'Beckenham', 'Baltimore']","['the University of Glasgow', 'the Bishop Stortford College', 'the Wellcome Physiological Research Laboratories', 'Kent', 'Chelsea Polytechnic', 'Birkbeck College', 'University College London']",[],"['the University of Glasgow', 'the Bishop Stortford College', 'the Wellcome Physiological Research Laboratories', 'Kent', 'Chelsea Polytechnic', 'Birkbeck College', 'University College London']"
Michael Athans,['1937-05-03'],"['B.S.', 'M.S.']","['the Department of Electrical Engineering and Computer Science', 'the Massachusetts Institute of Technology', 'the University of California, Berkeley']",[],"['the Department of Electrical Engineering and Computer Science', 'the Massachusetts Institute of Technology', 'the University of California, Berkeley']"
James S. Langer,['1934-05-30'],"['Pittsburgh', 'Pennsylvania', 'B.A.', 'Birmingham']","['the University of California at Santa Barbara', 'Langer', 'Taylor Allderdice High School', 'Carnegie Institute of Technology', 'the University of Birmingham', 'the Physics Department', 'the Carnegie Institute of Technology', 'Carnegie Mellon University', 'UCSB', 'Institute for Theoretical Physics', 'UCSB', 'Langer', 'the American Physical Society', 'the United States National Academy of Sciences', 'APS']",[],"['the University of California at Santa Barbara', 'Langer', 'Taylor Allderdice High School', 'Carnegie Institute of Technology', 'the University of Birmingham', 'the Physics Department', 'the Carnegie Institute of Technology', 'Carnegie Mellon University', 'UCSB', 'Institute for Theoretical Physics', 'UCSB', 'Langer', 'the American Physical Society', 'the United States National Academy of Sciences', 'APS']"
Andrew Huxley,['1917-11-22'],"['Cambridge', 'Cambridge']","['Westminster School', 'Trinity College', 'the British Anti-Aircraft Command', 'Admiralty', 'The University of Cambridge', 'the Department of Physiology at', 'University College London', 'The Royal Society', 'Trinity College']",[],"['Westminster School', 'Trinity College', 'the British Anti-Aircraft Command', 'Admiralty', 'The University of Cambridge', 'the Department of Physiology at', 'University College London', 'The Royal Society', 'Trinity College']"
Joseph Silk,['1942-12-03'],['UK'],"['the Savilian Chair of Astronomy', 'the University of Oxford', 'Tottenham County School', 'the University of Cambridge', 'Harvard', 'Silk', 'Berkeley', 'Silk', 'the Savilian Chair', 'the University of Oxford', 'the Institut d’Astrophysique de Paris', 'Université Pierre', 'Johns Hopkins University', 'Gresham College', 'Oxford', 'Universe', 'Silk']",[],"['the Savilian Chair of Astronomy', 'the University of Oxford', 'Tottenham County School', 'the University of Cambridge', 'Harvard', 'Silk', 'Berkeley', 'Silk', 'the Savilian Chair', 'the University of Oxford', 'the Institut d’Astrophysique de Paris', 'Université Pierre', 'Johns Hopkins University', 'Gresham College', 'Oxford', 'Universe', 'Silk']"
Frederic M. Richards,['1925-08-19'],[],"['NMR', 'Yale University', 'the National Academy of Sciences USA', 'the American Academy of Arts and Sciences', 'the American Society for Biochemistry and Molecular Biology', 'the Biophysical Society']",[],"['NMR', 'Yale University', 'the National Academy of Sciences USA', 'the American Academy of Arts and Sciences', 'the American Society for Biochemistry and Molecular Biology', 'the Biophysical Society']"
Carsten Lund,['1963-07-01'],"['Bedminster', 'New Jersey', 'United States', 'Aarhus', 'Denmark', 'systems;this']","['AT&T Labs', 'the University of Aarhus', 'the University of Chicago', 'ThePower of Interaction', 'ACM', 'PSPACE', 'NEXPTIME', 'the University of Chicago', 'Lance Fortnow', 'ACM Doctoral Dissertation Award', 'NP', 'AT&T Laboratories']",[],"['AT&T Labs', 'the University of Aarhus', 'the University of Chicago', 'ThePower of Interaction', 'ACM', 'PSPACE', 'NEXPTIME', 'the University of Chicago', 'Lance Fortnow', 'ACM Doctoral Dissertation Award', 'NP', 'AT&T Laboratories']"
Kenneth G. McCracken,['1933-08-07'],"['the United States of America', 'Brisbane', 'Queensland', 'Melbourne', 'Canberra']","['AO', 'Commonwealth Scientific and', 'Industrial Research Organisation) Office of Space Science and Applications and Foundation', 'the CSIRO Division of Mineral Physics', 'NASA', 'National Aeronautics and Space Administration', 'Morooka Primary', 'Canberra High School', 'Hobart High School', 'the University of Tasmania', 'a Bachelor of Science with Honours', 'a Doctor of Philosophy', 'Massachusetts Institute of Technology', 'the NASA Space Radiation Protection Committee', 'the University of Adelaide', 'McCracken', 'the Australian Academy of Science', 'the Order of Australia', 'AO', 'McCracken', 'New Holland Publishers']",[],"['AO', 'Commonwealth Scientific and', 'Industrial Research Organisation) Office of Space Science and Applications and Foundation', 'the CSIRO Division of Mineral Physics', 'NASA', 'National Aeronautics and Space Administration', 'Morooka Primary', 'Canberra High School', 'Hobart High School', 'the University of Tasmania', 'a Bachelor of Science with Honours', 'a Doctor of Philosophy', 'Massachusetts Institute of Technology', 'the NASA Space Radiation Protection Committee', 'the University of Adelaide', 'McCracken', 'the Australian Academy of Science', 'the Order of Australia', 'AO', 'McCracken', 'New Holland Publishers']"
Robert Ulanowicz,['1943-09-17'],"['Baltimore', 'Maryland', 'Solomons', 'Maryland', 'Gainesville', 'Florida', 'Florida', 'Florida']","[""the University of Maryland Center for Environmental Science's"", 'Chesapeake Biological Laboratory', 'Ulanowicz', 'Johns Hopkins University', 'a Courtesy Professorship', 'the Department of Biology', 'the University of Florida', 'Florida Springs Institute']",[],"[""the University of Maryland Center for Environmental Science's"", 'Chesapeake Biological Laboratory', 'Ulanowicz', 'Johns Hopkins University', 'a Courtesy Professorship', 'the Department of Biology', 'the University of Florida', 'Florida Springs Institute']"
Richard Lewontin,['1929-03-29'],[],"['Genetics', 'Harvard University']",[],"['Genetics', 'Harvard University']"
Xie Yi,['1967-07-23'],[],"['the Chinese Academy of Sciences', 'the Royal Society of Chemistry', 'University of Science and Technology of China']",[],"['the Chinese Academy of Sciences', 'the Royal Society of Chemistry', 'University of Science and Technology of China']"
Mark Krein,['1907-04-03'],"['Kiev', 'I.I.']",['Odessa National University'],[],['Odessa National University']
David Franklin (scientist),['1996-05-30'],"['the United States', 'US', 'Neurontin']","['Harvard Medical School', 'Parke-Davis', 'Neurontin', 'Franklin', 'Franklin', 'Kaiser Permanente', 'Kaiser', 'the US Supreme Court', 'Franklin']",[],"['Harvard Medical School', 'Parke-Davis', 'Neurontin', 'Franklin', 'Franklin', 'Kaiser Permanente', 'Kaiser', 'the US Supreme Court', 'Franklin']"
Stephen Selkowitz,['2014-05-30'],[],['the Lawrence Berkeley National Laboratory'],[],['the Lawrence Berkeley National Laboratory']
Hosur Narasimhaiah,['1920-06-06'],"['Hossur', 'Gauribidanur', 'Basavanagudi', 'Bangalore', 'US']","['ಡಾ', 'ಎಚ್.ನರಸಿಂಹಯ್ಯ', 'Karnataka', 'Bangalore University', 'the National Education Society', 'the Government School', 'the National High School', 'the Central College of Bangalore', 'Gandhi', 'Quit India', 'the National College, Bangalore', 'the Ohio State University', 'the National College', 'Basavanagudi', 'the Bangalore University', 'the Karnataka Legislative Council', 'the ""Committee', 'Karnataka', 'the Bangalore Science Forum', 'Fellow of the Committee for the Scientific Investigation of Claims of the Paranormal']",[],"['ಡಾ', 'ಎಚ್.ನರಸಿಂಹಯ್ಯ', 'Karnataka', 'Bangalore University', 'the National Education Society', 'the Government School', 'the National High School', 'the Central College of Bangalore', 'Gandhi', 'Quit India', 'the National College, Bangalore', 'the Ohio State University', 'the National College', 'Basavanagudi', 'the Bangalore University', 'the Karnataka Legislative Council', 'the ""Committee', 'Karnataka', 'the Bangalore Science Forum', 'Fellow of the Committee for the Scientific Investigation of Claims of the Paranormal']"
Christopher Bishop,[],[],"['Oxford', 'the University of Edinburgh', 'quantum']",[],"['Oxford', 'the University of Edinburgh', 'quantum']"
Noella Marcellino,['1951-06-30'],['France'],"['O.S.B.', 'the University of Connecticut', 'a Fulbright Scholarship']",[],"['O.S.B.', 'the University of Connecticut', 'a Fulbright Scholarship']"
Rudolph Leibel,['2070-05-30'],['MD'],"['Columbia University Medical Center', 'the Division of Molecular Genetics', 'the Department of Pediatrics', 'Angelica Berrie Program', 'the New York Obesity Research Center', 'the Columbia University Diabetes and Endocrinology Research Center', 'Leibel', 'Rockefeller University']",[],"['Columbia University Medical Center', 'the Division of Molecular Genetics', 'the Department of Pediatrics', 'Angelica Berrie Program', 'the New York Obesity Research Center', 'the Columbia University Diabetes and Endocrinology Research Center', 'Leibel', 'Rockefeller University']"
Roger Bingham,['0100-01-30'],"['La Jolla', 'California', 'Bingham', 'Bingham', 'Los Angeles', 'Bingham', 'Bingham', 'Bingham', 'Santa Barbara', 'Bingham', 'Bingham', 'Bingham', 'Bingham', 'Bingham']","['the Science Network', 'TSN', 'TSN', 'the Science and Society Unit', 'PBS', 'KCET', 'PBS', 'Philip Hefner', 'The Christian Century', 'PBS', 'the New Science of the Self (Harmony', 'the Center for Evolutionary Psychology', 'UC', 'Proceedings of the National Academy of Sciences of the United States of America', 'the New Science of the Self', 'the Science Network', 'The Science Network', 'Symposium', 'the Salk Institute', 'the Science Network', 'the Computational Neurobiology Laboratory', 'the Salk Institute for Biological Studies', 'the Institute for Neural Computationat UC San Diego', ""the Director's Council"", 'UC San Diego Center for Brain Activity Mapping', 'Executive Committee', 'the UCSD Temporal Dynamics of Learning Center', 'the Board of Advisers of Scientific American']",[],"['the Science Network', 'TSN', 'TSN', 'the Science and Society Unit', 'PBS', 'KCET', 'PBS', 'Philip Hefner', 'The Christian Century', 'PBS', 'the New Science of the Self (Harmony', 'the Center for Evolutionary Psychology', 'UC', 'Proceedings of the National Academy of Sciences of the United States of America', 'the New Science of the Self', 'the Science Network', 'The Science Network', 'Symposium', 'the Salk Institute', 'the Science Network', 'the Computational Neurobiology Laboratory', 'the Salk Institute for Biological Studies', 'the Institute for Neural Computationat UC San Diego', ""the Director's Council"", 'UC San Diego Center for Brain Activity Mapping', 'Executive Committee', 'the UCSD Temporal Dynamics of Learning Center', 'the Board of Advisers of Scientific American']"
Brian Cox (physicist),['1968-03-03'],[],"['OBE', 'FRS', 'the School of Physics', 'the University of Manchester', 'The Quantum Universe', 'Cox', 'BBC', 'Cox']",[],"['OBE', 'FRS', 'the School of Physics', 'the University of Manchester', 'The Quantum Universe', 'Cox', 'BBC', 'Cox']"
Don L. Anderson,['1933-03-05'],['Princeton'],"['the Division of Geological and Planetary Sciences', 'the California Institute of Technology', 'Caltech', 'the Royal Swedish Academy of Sciences', 'Rensselaer Polytechnic Institute', 'the University of Paris', 'Harvard', 'Yale', 'University of Chicago', 'Stanford, University of Paris', 'Purdue University', 'Rice University']",[],"['the Division of Geological and Planetary Sciences', 'the California Institute of Technology', 'Caltech', 'the Royal Swedish Academy of Sciences', 'Rensselaer Polytechnic Institute', 'the University of Paris', 'Harvard', 'Yale', 'University of Chicago', 'Stanford, University of Paris', 'Purdue University', 'Rice University']"
John Curtis Perry,['1930-07-18'],"['Japan', 'US', 'Japan', 'Singapore']","['Oceanic', 'the Fletcher School of Law and Diplomacy, Tufts University', 'Maritime Studies', 'the Institute for Global Maritime Studies', 'Imperial']",[],"['Oceanic', 'the Fletcher School of Law and Diplomacy, Tufts University', 'Maritime Studies', 'the Institute for Global Maritime Studies', 'Imperial']"
Carlton E. Lemke,['1949-05-30'],"['New Jersey', 'Algebra']","['the University of Buffalo', 'Linear Inequalities', 'Carnegie Mellon University', 'Carnegie Institute of Technology', 'the Carnegie Institute of Technology', 'the Knolls Atomic Power Laboratory of General Electric', 'the Radio Corporation of America', 'the Rensselaer Polytechnic Institute', 'Ford Foundation', 'Mathematical Programming', 'Operations Research', 'Statistics']",[],"['the University of Buffalo', 'Linear Inequalities', 'Carnegie Mellon University', 'Carnegie Institute of Technology', 'the Carnegie Institute of Technology', 'the Knolls Atomic Power Laboratory of General Electric', 'the Radio Corporation of America', 'the Rensselaer Polytechnic Institute', 'Ford Foundation', 'Mathematical Programming', 'Operations Research', 'Statistics']"
Mujahid Kamran,['1951-01-23'],"['Lahore', 'Pakistan', 'Kamran', 'Athens', 'USA']","['the University of the Punjab in', 'the Physics Department', 'the University of the Punjab', 'the Faculty of Sciences', 'the Punjab University', 'the University of the Punjab', 'Fulbright Fellow (', 'University of Georgia']",[],"['the University of the Punjab in', 'the Physics Department', 'the University of the Punjab', 'the Faculty of Sciences', 'the Punjab University', 'the University of the Punjab', 'Fulbright Fellow (', 'University of Georgia']"
Knut Borchardt,['1929-06-02'],"['Berlin', 'Germany']","['the Ludwig Maximilian University of Munich', 'the University of Mannheim', 'the University of Mannheim']",[],"['the Ludwig Maximilian University of Munich', 'the University of Mannheim', 'the University of Mannheim']"
Robert E. Hopkins,['1915-06-30'],"['Belmont', 'MA', 'BS', 'Oklahoma', 'Wayland']","['the Optical Society of America', 'Hopkins', 'Hopkins', 'the Massachusetts Institute of Technology', 'MIT', 'the University of Rochester', 'US Navy', 'the Office of Research and Development.', 'UR', 'the Institute of Optics', 'Cornell University', 'UR', 'the National Science Foundation', 'Tropel, Inc.', 'Corning, Inc.', 'the UR Laboratory of Laser Energetics', 'OSA', 'Hopkins', 'Society', 'OSA', 'the SPIE Board of Governors', 'the American Society for Engineering Education', 'the Robert E. Hopkins Professor of Optics', 'the Robert E. Hopkins Center for Optical Design and Engineering']",[],"['the Optical Society of America', 'Hopkins', 'Hopkins', 'the Massachusetts Institute of Technology', 'MIT', 'the University of Rochester', 'US Navy', 'the Office of Research and Development.', 'UR', 'the Institute of Optics', 'Cornell University', 'UR', 'the National Science Foundation', 'Tropel, Inc.', 'Corning, Inc.', 'the UR Laboratory of Laser Energetics', 'OSA', 'Hopkins', 'Society', 'OSA', 'the SPIE Board of Governors', 'the American Society for Engineering Education', 'the Robert E. Hopkins Professor of Optics', 'the Robert E. Hopkins Center for Optical Design and Engineering']"
Paul Kogerman,['2022-12-05'],"['O.S.', 'Tallinn']","['the University of Tartu', 'Department of Chemistry', 'the Imperial College London', 'the University of London', 'Master of Sciences']",[],"['the University of Tartu', 'Department of Chemistry', 'the Imperial College London', 'the University of London', 'Master of Sciences']"
Wen-Tsuen Chen,['1948-05-27'],"['Taiwan', 'Taiwan']","['the Academia Sinica', 'the Ministry of Education', 'the National Tsing Hua University']",[],"['the Academia Sinica', 'the Ministry of Education', 'the National Tsing Hua University']"
John Burton Cleland,['1878-06-22'],[],"['CBE', 'microbiologist, mycologist', 'the University of Adelaide']",[],"['CBE', 'microbiologist, mycologist', 'the University of Adelaide']"
Herbert Kroemer,['1928-08-25'],"['Santa Barbara', 'Germany', 'Germany', 'the United States']","['the University of California', 'the University of Göttingen', 'the University of Colorado', 'UCSB', 'the National Academy of Engineering', 'the National Academy of Sciences', 'Thermal Physics', 'Quantum Mechanics for Engineering, Materials Science and Applied Physics']",[],"['the University of California', 'the University of Göttingen', 'the University of Colorado', 'UCSB', 'the National Academy of Engineering', 'the National Academy of Sciences', 'Thermal Physics', 'Quantum Mechanics for Engineering, Materials Science and Applied Physics']"
Keith O'Nions,['1944-09-26'],['London'],"['the Imperial College London', 'the Research Councils', 'the Department of Earth Sciences', 'the University of Oxford', 'the University of Nottingham', 'the University of Alberta', 'the University of Oslo', 'the University of Oxford', 'Columbia University', 'a Royal Society Research', 'the University of Cambridge', 'Oxford', 'the Ministry of Defence', 'the Research Councils', 'Institute for Security Science and Technology', 'Imperial College', 'Rector of Imperial College London', 'Rector', 'Heriot-Watt University', 'the Royal Academy of Engineering', 'the Norwegian Academy of Science and Letters']",[],"['the Imperial College London', 'the Research Councils', 'the Department of Earth Sciences', 'the University of Oxford', 'the University of Nottingham', 'the University of Alberta', 'the University of Oslo', 'the University of Oxford', 'Columbia University', 'a Royal Society Research', 'the University of Cambridge', 'Oxford', 'the Ministry of Defence', 'the Research Councils', 'Institute for Security Science and Technology', 'Imperial College', 'Rector of Imperial College London', 'Rector', 'Heriot-Watt University', 'the Royal Academy of Engineering', 'the Norwegian Academy of Science and Letters']"
Steven Weinberg,['1933-05-03'],"['Austin', 'Britain']","['Physics', 'the Josey Regental Chair in Science', 'the University of Texas', 'Physics', 'Departments', 'the American Philosophical Society', 'the US National Academy of Sciences', 'Royal Society', 'the American Philosophical Society', 'the American Academy of Arts and Sciences', 'The New York Review of Books', 'the U. S. Arms Control and Disarmament Agency', 'the Philosophical Society of Texas', 'the Board of Editors of Daedalus', 'the Council of Scholars of the Library of Congress', 'JASON']",[],"['Physics', 'the Josey Regental Chair in Science', 'the University of Texas', 'Physics', 'Departments', 'the American Philosophical Society', 'the US National Academy of Sciences', 'Royal Society', 'the American Philosophical Society', 'the American Academy of Arts and Sciences', 'The New York Review of Books', 'the U. S. Arms Control and Disarmament Agency', 'the Philosophical Society of Texas', 'the Board of Editors of Daedalus', 'the Council of Scholars of the Library of Congress', 'JASON']"
David H. Auston,['1940-05-30'],"['Toronto', 'Canada', 'California', 'Santa Barbara', 'California']","['Engineering Physics and Electrical Engineering', 'the University of Toronto', 'the General Motors Defense Laboratory', 'the University of California, Berkeley', 'Bell Labs', 'Auston', 'Columbia University', 'Applied Physics', 'Rice University as Provost', 'Case Western Reserve University', 'the Kavli Foundation']",[],"['Engineering Physics and Electrical Engineering', 'the University of Toronto', 'the General Motors Defense Laboratory', 'the University of California, Berkeley', 'Bell Labs', 'Auston', 'Columbia University', 'Applied Physics', 'Rice University as Provost', 'Case Western Reserve University', 'the Kavli Foundation']"
Nigel Gilbert,['1950-03-21'],[],"['the Centre for Research in Social Simulation (University of Surrey', 'the Journal of Artificial Societies and Social Simulation']",[],"['the Centre for Research in Social Simulation (University of Surrey', 'the Journal of Artificial Societies and Social Simulation']"
Nick Jennings (computer scientist),['1966-12-15'],[],"['CB', 'FIEEE', 'FBCS', 'Imperial College', 'Electrical and Electronic Engineering', 'the University of Southampton', 'the UK Government on National Security']",[],"['CB', 'FIEEE', 'FBCS', 'Imperial College', 'Electrical and Electronic Engineering', 'the University of Southampton', 'the UK Government on National Security']"
Anthony William Thomas,['1949-11-05'],"['Geneva', 'Canada', 'Vancouver']","['Professor of Physics', 'the University of Adelaide', 'Adelaide Boys High School', 'the South Australian Leaving Examinations', 'Mathematics', 'Killam Postdoctoral Fellow', 'the University of British Columbia', 'the European Organization for Nuclear Research', 'National Laboratory for Particle and Nuclear Physics', 'the Chair of Physics', 'the University of Adelaide', 'the University of Adelaide', 'the Australian Institute of Physics', 'the South Australian Scientist']",[],"['Professor of Physics', 'the University of Adelaide', 'Adelaide Boys High School', 'the South Australian Leaving Examinations', 'Mathematics', 'Killam Postdoctoral Fellow', 'the University of British Columbia', 'the European Organization for Nuclear Research', 'National Laboratory for Particle and Nuclear Physics', 'the Chair of Physics', 'the University of Adelaide', 'the University of Adelaide', 'the Australian Institute of Physics', 'the South Australian Scientist']"
Rakesh Jain,['0200-05-30'],"['Belgium', 'India']","['Massachusetts General Hospital', 'the Harvard Medical School', 'E.L. Steele Laboratories', 'the Massachusetts General Hospital', 'Jain', 'Clinical Medicine', 'Nature Reviews Cancer and', 'the American Academy of Arts and Sciences', 'the National Academy of Medicine', 'the National Academy of Engineering', 'the National Academy of Sciences', 'the American Society of Clinical Oncology', 'Jain', 'Duke University', 'IIT-Kanpur']",[],"['Massachusetts General Hospital', 'the Harvard Medical School', 'E.L. Steele Laboratories', 'the Massachusetts General Hospital', 'Jain', 'Clinical Medicine', 'Nature Reviews Cancer and', 'the American Academy of Arts and Sciences', 'the National Academy of Medicine', 'the National Academy of Engineering', 'the National Academy of Sciences', 'the American Society of Clinical Oncology', 'Jain', 'Duke University', 'IIT-Kanpur']"
David Jack (scientist),['1924-02-22'],[],['Glaxo'],[],['Glaxo']
Artur Ekert,['1961-09-19'],"['Wrocław', 'Poland', 'Lee Kong']","['the Mathematical Institute', 'University of Oxford', 'the National University of Singapore', 'CQT', 'quantum', 'quantum', 'quantum']",[],"['the Mathematical Institute', 'University of Oxford', 'the National University of Singapore', 'CQT', 'quantum', 'quantum', 'quantum']"
Svante Janson,['1955-05-21'],"['Janson', 'Janson', 'Janson', 'Janson']","['the Royal Swedish Academy of Sciences', 'Uppsala University']",[],"['the Royal Swedish Academy of Sciences', 'Uppsala University']"
